id,category,intent,title,text,answer,important_information,keywords
38,Returns,return_request,Return Request,I changed my mind and want to return the item.,Open the order and request a return if the item is within the applicable return period and conditions.,"order_id, return_reason",i changed my mind and want to return the item
39,Returns,return_request,Return Request,Please help me return my purchase.,Select the item in your orders and choose return. Follow the displayed instructions for pickup or drop-off.,order_id,please help me return my purchase
40,Returns,return_request,Return Request,How do I send an item back to the seller?,Create a return request from the order page. The approved return instructions will show the next steps.,order_id,how do i send an item back to the seller
41,Returns,return_eligibility,Return Eligibility,Is my product eligible for return?,"Return eligibility depends on the item, return window, and condition. Check the return policy shown on the order page.","order_id, purchase_date, item_condition",is my product eligible for return
42,Returns,return_eligibility,Return Eligibility,Can I return this item after using it?,Eligibility depends on the item category and condition. Review the item-specific return terms before submitting a request.,"order_id, item_condition",can i return this item after using it
43,Returns,return_eligibility,Return Eligibility,What is the return window?,The applicable return period is shown with the order or product return policy. Check the purchase date against that window.,"order_id, purchase_date",what is the return window
44,Returns,return_eligibility,Return Eligibility,How many days do I have to return a product?,The return period varies by item and policy. Check the return terms attached to the order.,"order_id, purchase_date",how many days do i have to return a product
45,Returns,return_eligibility,Return Eligibility,Will you accept a damaged item for return?,Report damage through the return process and select the appropriate reason. Eligibility is assessed using the item condition and policy.,"order_id, item_condition",will you accept a damaged item for return
46,Returns,return_eligibility,Return Eligibility,Can I return an opened product?,Some items can be returned after opening while others have condition restrictions. Check the item-specific policy before requesting the return.,"order_id, item_condition",can i return an opened product
47,Returns,return_eligibility,Return Eligibility,My return period may be over. Can I still return it?,Check the purchase date and item-specific return window. Support can review exceptional cases when you provide the order ID.,"order_id, purchase_date",my return period may be over can i still return it
48,Returns,return_eligibility,Return Eligibility,Does every product have the same return policy?,No. Return conditions can vary by product type. Review the return policy linked to the specific order.,"order_id, item_type",does every product have the same return policy
49,Returns,exchange_request,Exchange Request,I received the wrong size and want an exchange.,"Open the order, select the item, and choose the exchange option if available. Select the required size and follow the instructions.","order_id, size",i received the wrong size and want an exchange
50,Returns,exchange_request,Exchange Request,Can I exchange my product?,Exchange availability depends on the item and stock. Check the order page for an exchange option.,"order_id, item_condition",can i exchange my product
51,Returns,exchange_request,Exchange Request,I want a different size.,Request an exchange from the order details when the item is eligible and the desired size is in stock.,"order_id, size",i want a different size
52,Returns,exchange_request,Exchange Request,The product does not fit. Can I replace it?,"If the item supports exchanges, select exchange in your order and choose the required size or variant.","order_id, size",the product does not fit can i replace it
53,Returns,exchange_request,Exchange Request,Can I change the color of the item?,Color exchange depends on inventory and item policy. Open the order and check available exchange options.,"order_id, color",can i change the color of the item
54,Returns,exchange_request,Exchange Request,I need the same product in another size.,"Use the exchange option in your order, provided the item is eligible and the new size is available.","order_id, size",i need the same product in another size
55,Returns,exchange_request,Exchange Request,How do I exchange an item for another variant?,"Open the order, choose exchange, and select the available variant. Follow the return and replacement instructions.","order_id, variant",how do i exchange an item for another variant
56,Returns,exchange_request,Exchange Request,Can I swap my item instead of getting a refund?,"If exchange is supported for the item, you can choose an exchange instead of a standard return.",order_id,can i swap my item instead of getting a refund
57,Returns,return_pickup,Return Pickup,When will my return be picked up?,The pickup date is shown after the return is approved and scheduled. Keep the item packed according to the return instructions.,"order_id, pickup_date",when will my return be picked up
58,Returns,return_pickup,Return Pickup,How do I schedule a return pickup?,"Submit the return request first. If pickup is supported, the system will display available pickup scheduling options.",order_id,how do i schedule a return pickup
59,Returns,return_pickup,Return Pickup,The return pickup has not happened.,"Check the scheduled pickup date and latest return status. If the date has passed, contact support with the return or order ID.","order_id, pickup_date",the return pickup has not happened
60,Returns,return_pickup,Return Pickup,Can I choose a different pickup date?,Pickup-date changes depend on the available carrier slots. Use the return tracking or rescheduling option when provided.,"order_id, pickup_date",can i choose a different pickup date
61,Returns,return_pickup,Return Pickup,Where can I see my return pickup status?,Open the return details in your orders section to view the scheduled pickup and latest carrier status.,order_id,where can i see my return pickup status
62,Returns,return_pickup,Return Pickup,The courier did not come for my return.,"Check the scheduled pickup information. If the pickup was missed, use the rescheduling option or contact support with the order ID.",order_id,the courier did not come for my return
63,Returns,return_pickup,Return Pickup,Do I need to package the item before pickup?,Pack the item according to the return instructions and keep accessories or documents required by the item policy.,order_id,do i need to package the item before pickup
64,Returns,return_pickup,Return Pickup,Can someone else hand over my return?,Pickup handover depends on carrier and seller requirements. Keep the return package ready with the required order details.,order_id,can someone else hand over my return
65,Payment Issues,payment_failed,Payment Failed,My payment was unsuccessful.,"Try the payment again using the same or another available payment method. If money was debited, do not retry repeatedly; check the payment status first.","payment_method, amount, transaction_status",my payment was unsuccessful
66,Payment Issues,payment_failed,Payment Failed,Why did my payment fail?,"A payment can fail because of bank rejection, insufficient balance, card restrictions, or a temporary payment gateway issue. Check the transaction status.","payment_method, amount",why did my payment fail
67,Payment Issues,payment_failed,Payment Failed,I cannot complete the payment.,"Check your payment method, available balance, card or UPI status, and try again once. For a debited amount, verify the transaction status first.",payment_method,i cannot complete the payment
68,Payment Issues,payment_failed,Payment Failed,Checkout payment is failing.,"Verify the selected payment method and try again. If the amount was deducted despite failure, check the payment status before another attempt.","payment_method, amount",checkout payment is failing
69,Payment Issues,payment_failed,Payment Failed,My card payment did not go through.,"Check card validity, limits, and bank approval. You can also try another supported method.",payment_method,my card payment did not go through
70,Payment Issues,payment_failed,Payment Failed,UPI payment failed at checkout.,"Verify that your UPI app and bank account are active, then retry once. If funds were debited, check the transaction status.","payment_method, amount",upi payment failed at checkout
71,Payment Issues,payment_failed,Payment Failed,The payment gateway rejected my transaction.,The bank or payment gateway may have declined the transaction. Verify the payment method and retry or choose another method.,payment_method,the payment gateway rejected my transaction
72,Payment Issues,payment_failed,Payment Failed,I got a payment failure message.,"Review the payment status and retry once if no amount was debited. For a debit without order confirmation, check the payment status first.",transaction_status,i got a payment failure message
73,Payment Issues,payment_pending,Payment Pending,My payment is still pending.,"Wait for the payment status to update and avoid making repeated payments for the same order. If it remains pending, contact support with the transaction details.","transaction_id, amount",my payment is still pending
74,Payment Issues,payment_pending,Payment Pending,The payment status says pending.,A pending status means the transaction has not received a final success or failure confirmation. Wait for the status to update before retrying.,transaction_id,the payment status says pending
75,Payment Issues,payment_pending,Payment Pending,Why is my payment stuck on pending?,The bank or payment gateway may still be processing the transaction. Avoid duplicate payments and monitor the transaction status.,transaction_id,why is my payment stuck on pending
76,Payment Issues,payment_pending,Payment Pending,My UPI payment is pending.,Keep the transaction details and wait for the bank status to update. Do not make duplicate payments while the original transaction is pending.,"transaction_id, amount",my upi payment is pending
77,Payment Issues,payment_pending,Payment Pending,Card payment is showing pending.,The payment is awaiting final confirmation from the payment provider. Monitor the status and avoid duplicate attempts.,transaction_id,card payment is showing pending
78,Payment Issues,payment_pending,Payment Pending,The money transfer for my order is pending.,The payment provider has not returned a final result yet. Check the transaction status before taking another payment action.,transaction_id,the money transfer for my order is pending
79,Payment Issues,payment_pending,Payment Pending,It has been a while and payment is still pending.,Check the transaction status and keep the payment reference. Support can investigate a long-pending transaction.,"transaction_id, amount",it has been a while and payment is still pending
80,Payment Issues,payment_pending,Payment Pending,Should I retry a pending payment?,Do not immediately retry a pending transaction because the original payment may still complete. Verify the current status first.,transaction_id,should i retry a pending payment
81,Payment Issues,charged_order_failed,Charged Order Failed,My money was deducted but the order was not placed.,Do not pay again immediately. Check the payment transaction status and contact support with the transaction ID and amount if the order was not created.,"transaction_id, amount",my money was deducted but the order was not placed
82,Payment Issues,charged_order_failed,Charged Order Failed,Payment succeeded but I did not receive an order number.,"Keep the payment reference and amount. Check your orders section; if no order appears, contact support for transaction verification.","transaction_id, amount",payment succeeded but i did not receive an order number
83,Payment Issues,charged_order_failed,Charged Order Failed,I was charged but checkout failed.,Check whether the transaction is successful or pending before retrying. Support can trace a debited payment using the transaction ID.,"transaction_id, amount",i was charged but checkout failed
84,Payment Issues,charged_order_failed,Charged Order Failed,The money was taken from my account but no order exists.,Please do not make a duplicate payment. Verify the payment status and provide the transaction ID to support.,"transaction_id, amount",the money was taken from my account but no order exists
85,Payment Issues,charged_order_failed,Charged Order Failed,Payment got deducted and the order failed.,"Check the payment transaction first. If the debit is confirmed but no order exists, support can investigate or process the applicable refund.","transaction_id, amount",payment got deducted and the order failed
86,Payment Issues,charged_order_failed,Charged Order Failed,I received a debit alert but no order confirmation.,Use the payment reference to verify the transaction. Avoid duplicate payment until the status is clear.,"transaction_id, amount",i received a debit alert but no order confirmation
87,Payment Issues,charged_order_failed,Charged Order Failed,My bank account was charged but the order is missing.,"Check your payment status and orders page. If there is no order, contact support with the transaction ID and amount.","transaction_id, amount",my bank account was charged but the order is missing
88,Payment Issues,charged_order_failed,Charged Order Failed,The checkout crashed after payment.,"Verify whether the payment completed before trying again. If charged without an order, share the transaction reference with support.","transaction_id, amount",the checkout crashed after payment
89,Payment Issues,payment_methods,Payment Methods,Which payment methods can I use?,"Available methods are shown at checkout and can include supported cards, UPI, net banking, wallets, or other enabled options.",payment_method,which payment methods can i use
90,Payment Issues,payment_methods,Payment Methods,Can I pay by UPI?,UPI is available when shown among the payment methods at checkout.,payment_method,can i pay by upi
91,Payment Issues,payment_methods,Payment Methods,Do you accept credit cards?,Supported credit and debit card options are listed during checkout. Enter the card details only on the secure payment page.,payment_method,do you accept credit cards
92,Payment Issues,payment_methods,Payment Methods,Can I use net banking?,Net banking can be used when it is available as an option at checkout.,payment_method,can i use net banking
93,Payment Issues,payment_methods,Payment Methods,What payment options are available?,Open the checkout page to view the payment methods currently available for your order and location.,payment_method,what payment options are available
94,Payment Issues,payment_methods,Payment Methods,Is cash on delivery available?,"Cash-on-delivery availability depends on the product, seller, and delivery location. Check the option shown at checkout.","payment_method, destination",is cash on delivery available
95,Payment Issues,payment_methods,Payment Methods,Can I pay with a wallet?,Wallet payment is available only when the supported wallet appears in the checkout payment options.,payment_method,can i pay with a wallet
96,Payment Issues,payment_methods,Payment Methods,Why is my preferred payment method not showing?,"Payment options can vary by product, seller, order value, and location. Check the methods currently displayed at checkout.","payment_method, destination",why is my preferred payment method not showing
97,Refunds,refund_status,Refund Status,Where will I get my refund back?,The refund is normally sent through the original payment channel when supported. Check the refund details in your order or payment history.,"order_id, payment_method",where will i get my refund back
98,Refunds,refund_status,Refund Status,How will I receive my refund?,Refunds are generally processed to the original payment method or the method specified in the refund details.,"order_id, payment_method",how will i receive my refund
99,Refunds,refund_status,Refund Status,Where does my refund go?,The refund destination depends on the original payment method and applicable refund rules. Check the order's refund details.,"order_id, payment_method",where does my refund go
100,Refunds,refund_status,Refund Status,Will my refund come to my bank account?,"For eligible bank-based payments, refunds are typically returned through the original payment route. Check the refund status for the exact method.","order_id, payment_method",will my refund come to my bank account
101,Refunds,refund_status,Refund Status,How can I check where my refund was sent?,Open the refund details associated with the order to see the refund method and processing status.,order_id,how can i check where my refund was sent
102,Refunds,refund_status,Refund Status,I need to know the refund method.,The refund method is shown in the refund details for the order and may depend on the original payment method.,"order_id, payment_method",i need to know the refund method
103,Refunds,refund_status,Refund Status,My returned order was refunded. Where is the money?,Check the refund status and destination shown in the order details. The time to appear depends on the payment provider.,"order_id, payment_method",my returned order was refunded where is the money
104,Refunds,refund_status,Refund Status,Where will the refund amount be credited?,The refund is generally credited through the applicable original payment route. Review the refund details for the order.,order_id,where will the refund amount be credited
105,Refunds,refund_pending,Refund Pending,My refund is pending.,A pending refund means processing has started but the amount has not completed through the payment provider. Check the refund status and reference.,"order_id, refund_reference",my refund is pending
106,Refunds,refund_pending,Refund Pending,Why is my refund taking time?,Refund processing can take time after the return or cancellation is approved. Check the refund status for the latest update.,order_id,why is my refund taking time
107,Refunds,refund_pending,Refund Pending,The refund has been initiated but is not complete.,"Keep the refund reference and monitor the status. If the stated processing window has passed, contact support.","order_id, refund_reference",the refund has been initiated but is not complete
108,Refunds,refund_pending,Refund Pending,Refund status shows processing.,Processing means the refund is moving through the payment provider. Wait for completion and keep the refund reference.,"order_id, refund_reference",refund status shows processing
109,Refunds,refund_pending,Refund Pending,How long does a refund take to process?,The processing time depends on the payment method and provider. The refund status page shows the current stage.,"order_id, payment_method",how long does a refund take to process
110,Refunds,refund_pending,Refund Pending,My refund has not finished yet.,Check the current refund status and reference. Support can investigate when the applicable processing window has passed.,"order_id, refund_reference",my refund has not finished yet
111,Refunds,refund_pending,Refund Pending,Why is my refund still under processing?,The payment provider may still be processing the refund. Monitor the status and contact support after the expected window.,order_id,why is my refund still under processing
112,Refunds,refund_pending,Refund Pending,Can you check my pending refund?,Support can investigate a pending refund using the order ID or refund reference.,"order_id, refund_reference",can you check my pending refund
113,Refunds,refund_not_received,Refund Not Received,I have not received my refund.,"Check the refund status and expected completion window. If it has passed, contact support with the order ID and refund reference.","order_id, refund_reference",i have not received my refund
114,Refunds,refund_not_received,Refund Not Received,My refund says completed but I cannot see the money.,"Verify the payment account or statement linked to the original payment method. If the amount is still missing, contact support with the refund reference.","order_id, refund_reference",my refund says completed but i cannot see the money
115,Refunds,refund_not_received,Refund Not Received,The refund was processed but money is missing.,"Check the original payment account and transaction history. If the credit is not visible after the expected window, provide the refund reference to support.","order_id, refund_reference",the refund was processed but money is missing
116,Refunds,refund_not_received,Refund Not Received,"I was told my refund was issued, but I got nothing.","Review the refund confirmation and destination. If the credit is absent after the expected processing period, support can trace it.","order_id, refund_reference",i was told my refund was issued but i got nothing
117,Refunds,refund_not_received,Refund Not Received,My refund has not reached my account.,Check the refund destination and bank or payment statement. Share the order ID and refund reference if it remains missing.,"order_id, refund_reference",my refund has not reached my account
118,Refunds,refund_not_received,Refund Not Received,Refund completed but not credited.,Confirm the original payment account and check the refund reference. Support can investigate a missing credit after the expected window.,"order_id, refund_reference",refund completed but not credited
119,Refunds,refund_not_received,Refund Not Received,Why is my completed refund not showing?,A provider may take additional time to reflect a completed refund. Check the original payment statement and share the refund reference if needed.,"order_id, refund_reference",why is my completed refund not showing
120,Refunds,refund_not_received,Refund Not Received,The app says refunded but my balance has not changed.,"Review the original payment account and refund transaction. If the credit is missing beyond the expected time, contact support.","order_id, refund_reference",the app says refunded but my balance has not changed
121,Refunds,refund_timeline,Refund Timeline,When will I get my refund?,The refund timeline depends on the payment method and provider. Check the refund status in the order details for the current stage.,"order_id, payment_method",when will i get my refund
122,Refunds,refund_timeline,Refund Timeline,How many days for a refund?,Refund timing varies by payment method. The order's refund details provide the expected processing window.,"order_id, payment_method",how many days for a refund
123,Refunds,refund_timeline,Refund Timeline,What is the refund ETA?,The current refund status and expected processing information are shown in the refund details.,"order_id, payment_method",what is the refund eta
124,Refunds,refund_timeline,Refund Timeline,How long after return will I get my money?,"After the return is approved and refund processing begins, the payment provider may take additional time to credit the amount.",order_id,how long after return will i get my money
125,Refunds,refund_timeline,Refund Timeline,When should the refund reach me?,Check the refund status and payment method because provider processing times can differ.,"order_id, payment_method",when should the refund reach me
126,Refunds,refund_timeline,Refund Timeline,How soon will the refund appear?,The refund appears according to the processing timeline of the original payment method. Check the refund details for the expected window.,"order_id, payment_method",how soon will the refund appear
127,Refunds,refund_timeline,Refund Timeline,Can you tell me the refund processing time?,Refund timing depends on the payment provider and payment method. Use the refund status for the current estimate.,"order_id, payment_method",can you tell me the refund processing time
128,Refunds,refund_timeline,Refund Timeline,Will I receive the refund immediately after return?,"Not necessarily. The return may need approval first, followed by payment-provider processing.",order_id,will i receive the refund immediately after return
